"phase","profile","profile_label","C","R","n","rep","seed","prune_tol","coefficient","estimate","se","truth","error","observed_fraction"
"prune","p1","P1: C = 5, R = 6",5,6,2000,2,1205002,1e-06,"Fleiss",0.829601746554708,0.0455173529693126,0.8464,"",0.689916666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,2,1205002,1e-06,"Brennan-Prediger",0.833976964429469,0.0468243212202274,0.850228148148148,"",0.689916666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,3,1205003,1e-06,"Conger",0.845890195683418,0.0308940570309017,0.8464,"",0.694416666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,3,1205003,1e-06,"Fleiss",0.845885380896869,0.0309019952318087,0.8464,"",0.694416666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,3,1205003,1e-06,"Brennan-Prediger",0.849627470024085,0.0323718582017639,0.850228148148148,"",0.694416666666667
"prune","p1","P1: C = 5, R = 6",5,6,2000,4,1205004,1e-06,"Conger",0.834556746320912,0.0213516586130289,0.8464,"",0.6855
"prune","p1","P1: C = 5, R = 6",5,6,2000,4,1205004,1e-06,"Fleiss",0.834551491508078,0.0213244657208631,0.8464,"",0.6855
"prune","p1","P1: C = 5, R = 6",5,6,2000,4,1205004,1e-06,"Brennan-Prediger",0.838136747804422,0.0199185417297511,0.850228148148148,"",0.6855
"prune","p1","P1: C = 5, R = 6",5,6,2000,5,1205005,1e-06,"Conger",0.82575530550019,0.0335138675441875,0.8464,"",0.692333333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,5,1205005,1e-06,"Fleiss",0.825747285884022,0.0334667914435768,0.8464,"",0.692333333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,5,1205005,1e-06,"Brennan-Prediger",0.831076444273794,0.0353912322825563,0.850228148148148,"",0.692333333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,6,1205006,1e-06,"Conger",0.838435767330684,0.0075360805413251,0.8464,"",0.694
"prune","p1","P1: C = 5, R = 6",5,6,2000,6,1205006,1e-06,"Fleiss",0.838433186803895,0.00753869439715927,0.8464,"",0.694
"prune","p1","P1: C = 5, R = 6",5,6,2000,6,1205006,1e-06,"Brennan-Prediger",0.842549514133389,0.00724168514286566,0.850228148148148,"",0.694
"prune","p1","P1: C = 5, R = 6",5,6,2000,7,1205007,1e-06,"Conger",0.842458789462336,0.0261869436025472,0.8464,"",0.689083333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,7,1205007,1e-06,"Fleiss",0.842456190591057,0.0261962484912609,0.8464,"",0.689083333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,7,1205007,1e-06,"Brennan-Prediger",0.845824707844568,0.0254432739899642,0.850228148148148,"",0.689083333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,8,1205008,1e-06,"Conger",0.839170562781194,0.0529032287934682,0.8464,"",0.690333333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,8,1205008,1e-06,"Fleiss",0.839167374007016,0.0529133303548631,0.8464,"",0.690333333333333
"prune","p1","P1: C = 5, R = 6",5,6,2000,8,1205008,1e-06,"Brennan-Prediger",0.843273111123744,0.0497982362127014,0.850228148148148,"",0.690333333333333
"scaling","p2","P2: C = 3, R = 4",3,4,500,1,1305001,1e-09,"Conger",0.806353495141928,0.0362765767051335,0.8464,"",0.6945
"scaling","p2","P2: C = 3, R = 4",3,4,500,1,1305001,1e-09,"Fleiss",0.806275092387384,0.0364741603259227,0.8464,"",0.6945
"scaling","p2","P2: C = 3, R = 4",3,4,500,1,1305001,1e-09,"Brennan-Prediger",0.820168511229257,0.0307417763203846,0.856,"",0.6945
"scaling","p2","P2: C = 3, R = 4",3,4,500,2,1305002,1e-09,"Conger",0.860747861822929,0.0188456558911264,0.8464,"",0.6765
"scaling","p2","P2: C = 3, R = 4",3,4,500,2,1305002,1e-09,"Fleiss",0.860721254989625,0.0188524523572242,0.8464,"",0.6765
"scaling","p2","P2: C = 3, R = 4",3,4,500,2,1305002,1e-09,"Brennan-Prediger",0.870467960493861,0.0175511486097818,0.856,"",0.6765
"scaling","p2","P2: C = 3, R = 4",3,4,500,3,1305003,1e-09,"Conger",0.871676824567128,0.120045016600308,0.8464,"",0.681
"scaling","p2","P2: C = 3, R = 4",3,4,500,3,1305003,1e-09,"Fleiss",0.871665651446161,0.119955476464278,0.8464,"",0.681
