"dgp","dgp_label","family","p","dist","mechanism","n","rep","seed","method","truth","estimate","bias","se","elapsed_ms","em_iter","observed_fraction","complete_rows","min_pair_count","error"
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","mar_anchor30",160,1,8181801,"pairwise",0.813977389516958,0.770058455954838,-0.0439189335621196,NA,0.999999999999446,NA,0.72109375,28,72,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","mar_anchor30",160,1,8181801,"fiml_sandwich",0.813977389516958,0.809716283067281,-0.00426110644967637,0.0253113608498363,512,58,0.72109375,28,72,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","mar_anchor30",160,1,8181801,"fiml_normal",0.813977389516958,0.809716283067281,-0.00426110644967637,0.0282137445737018,521,58,0.72109375,28,72,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","mar_anchor30",160,1,8181801,"listwise",0.813977389516958,0.774831992366929,-0.0391453971500287,0.0567099122575665,9.99999999999979,2,0.72109375,28,72,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","mar_anchor30",160,2,8181802,"pairwise",0.813977389516958,0.794301086786693,-0.0196763027302652,NA,0,NA,0.73046875,37,68,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","mar_anchor30",160,2,8181802,"fiml_sandwich",0.813977389516958,0.820944837220195,0.00696744770323721,0.0252422392007259,455,47,0.73046875,37,68,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","mar_anchor30",160,2,8181802,"fiml_normal",0.813977389516958,0.820944837220195,0.00696744770323721,0.0253551987189974,460,47,0.73046875,37,68,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","mar_anchor30",160,2,8181802,"listwise",0.813977389516958,0.704118498228869,-0.109858891288089,0.0780262227814272,9.99999999999979,2,0.73046875,37,68,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","mar_anchor30",160,3,8181803,"pairwise",0.813977389516958,0.806668762878227,-0.00730862663873089,NA,0,NA,0.74140625,32,72,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","mar_anchor30",160,3,8181803,"fiml_sandwich",0.813977389516958,0.836821672100562,0.0228442825836037,0.0206272346749808,489,46,0.74140625,32,72,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","mar_anchor30",160,3,8181803,"fiml_normal",0.813977389516958,0.836821672100562,0.0228442825836037,0.0234998323254196,493,46,0.74140625,32,72,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","mar_anchor30",160,3,8181803,"listwise",0.813977389516958,0.81250922067384,-0.00146816884311796,0.0344551252773693,10.9999999999992,2,0.74140625,32,72,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","mar_anchor30",160,4,8181804,"pairwise",0.813977389516958,0.673925728479019,-0.140051661037939,NA,1.00000000000033,NA,0.71953125,39,72,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","mar_anchor30",160,4,8181804,"fiml_sandwich",0.813977389516958,0.723423635951573,-0.0905537535653849,0.0461150588944209,558,55,0.71953125,39,72,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","mar_anchor30",160,4,8181804,"fiml_normal",0.813977389516958,0.723423635951573,-0.0905537535653849,0.0441265386563365,539,55,0.71953125,39,72,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","mar_anchor30",160,4,8181804,"listwise",0.813977389516958,0.622309872021717,-0.191667517495241,0.117173008479337,10.9999999999992,2,0.71953125,39,72,""
"twofactor8","Two-factor, 8 items","twofactor",8,"normal","mcar30",160,1,9181801,"pairwise",0.813977389516958,0.84139073679426,0.0274133472773023,NA,0,NA,0.85546875,45,75,""
