"p1_2","p1_3","p1_4","p1_5","p1_6","p2_3","p2_4","p2_5","p2_6","p3_4","p3_5","p3_6","p4_5","p4_6","p5_6","cell","b","wald_stat","wald_df","p_chi","reject_05"
0.860689160009216,0.841611588662611,0.847849878546833,0.812995228706835,0.808158588899843,0.875962637789331,0.879389550310639,0.852457521179052,0.847529985769465,0.863035036174864,0.844060870032801,0.825669028627828,0.839645938231615,0.832085076894373,0.831916630648802,"null",76,19.2919632282447,14,0.154090417658462,FALSE
0.838857824258343,0.836518979878434,0.830947819226868,0.849523850469701,0.837158767532128,0.833489101593133,0.833223942585997,0.841103977248244,0.836805889969715,0.830963241212772,0.849561040607773,0.834502493139861,0.841219434741188,0.828886155820544,0.839449418539311,"null",77,7.36263449878771,14,0.919827236094787,FALSE
0.864203499204232,0.867381902230691,0.85439249312409,0.851834291471582,0.865410497981157,0.861097493218289,0.856189287458621,0.859006756830038,0.861876956743113,0.85127578337101,0.856872805833108,0.865080735687764,0.862751957802955,0.849419458232722,0.852241099541141,"null",78,18.2035444815582,14,0.197667005893463,FALSE
0.819498534109307,0.796594888484522,0.8321085514546,0.846460082363199,0.814099970474701,0.805400545974806,0.84080803644947,0.841387910477149,0.820029122560167,0.826130153999006,0.832334670991149,0.799928741743635,0.870590438010066,0.840873549342917,0.84691506519778,"null",79,24.366861335748,14,0.0413572066161046,TRUE
0.862210044887728,0.880996456338922,0.870103704960448,0.857600945107801,0.860226907111549,0.854274525597342,0.843284335339648,0.830970440955862,0.833543825532792,0.867465408471611,0.855022036650429,0.852323011766691,0.844116590222147,0.857255391252399,0.834352634318979,"null",80,11.2828272187319,14,0.663688658644102,FALSE
0.811370581355868,0.835107504500754,0.861772135430783,0.833008328036286,0.846651349737155,0.813315729096773,0.839934888768313,0.816697756164886,0.827742129968563,0.877493684118826,0.840437040242319,0.854173867957138,0.875275207965034,0.878184790965101,0.852020060698681,"null",81,17.6142246485447,14,0.224919629978514,FALSE
0.82816088505327,0.842460655906911,0.822492640271777,0.863408131040775,0.828436044770023,0.809867341728143,0.817054856237883,0.827926210388887,0.793102697287468,0.812417422887249,0.842243836629893,0.804918228223997,0.822239238636985,0.795554537871477,0.833662372792618,"null",82,13.8846133551234,14,0.458342454435561,FALSE
0.836361553692502,0.863434246320919,0.822640850450765,0.834260748598009,0.826038738998309,0.870705781377231,0.857114594095535,0.865900383141762,0.835692964920448,0.85962014863749,0.863027958733063,0.846503009637418,0.841287215411559,0.822023131516691,0.833653300754832,"null",83,21.76368963973,14,0.0836020744067482,FALSE
0.849687026916759,0.830837061183281,0.834055104411458,0.831706496129249,0.799564922257915,0.859674120129748,0.862833167478013,0.863121789400796,0.83079798891324,0.849327894787821,0.841628594896683,0.814630739059184,0.858186391245016,0.815223445734607,0.823657660738714,"null",84,13.1857481835333,14,0.511952607433413,FALSE
0.847773138482951,0.855450340373538,0.850719531856452,0.85587251516058,0.83179507213821,0.838993134012291,0.82342714332283,0.831231898260055,0.810007708258694,0.83372856870281,0.849814589283861,0.825653933955531,0.839633821498853,0.815658208631533,0.826196528275652,"null",85,12.124252797744,14,0.596324909354678,FALSE
0.829393386861158,0.81541029743019,0.829123725102793,0.826438954575069,0.818618298212857,0.831825995963824,0.848152252674652,0.832144132238451,0.840306611306292,0.823491655969191,0.818205150141158,0.821042228692006,0.842584390774912,0.840059711041211,0.826763679006423,"null",86,8.05423975047157,14,0.886481134221174,FALSE
