"marg","b","kappa_F","kappa_BP","delta","se","z","rej_05"
"skewed",15,0.704339136747928,0.725,-0.0206608632520724,0.0025244510146974,-8.18429952959453,TRUE
"skewed",16,0.696825632557939,0.7125,-0.0156743674420609,0.00226549172096182,-6.91874849818752,TRUE
"skewed",17,0.697464968171915,0.719,-0.021535031828085,0.00269260498891794,-7.99784295012363,TRUE
"skewed",18,0.72148623360137,0.7455,-0.0240137663986304,0.00302430790116912,-7.94025184715727,TRUE
"skewed",19,0.733529327867299,0.749333333333333,-0.0158040054660349,0.00262071179690429,-6.03042481996811,TRUE
"skewed",20,0.711180664590661,0.7275,-0.0163193354093389,0.00243425334316917,-6.7040414898199,TRUE
"skewed",21,0.704874716772066,0.723,-0.0181252832279344,0.00257893726764347,-7.02819857440601,TRUE
"skewed",22,0.697034298457093,0.716166666666667,-0.0191323682095739,0.0023546229125258,-8.12544892339071,TRUE
"skewed",23,0.71035894780813,0.7265,-0.0161410521918703,0.00238103429456793,-6.7790086974784,TRUE
"skewed",24,0.707748552960482,0.7245,-0.0167514470395176,0.00249831647989768,-6.70509408007573,TRUE
"skewed",25,0.72081803108119,0.738833333333333,-0.0180153022521431,0.00236682120246465,-7.61160252974884,TRUE
"skewed",26,0.730393791996956,0.749666666666667,-0.0192728746697111,0.00267686239752765,-7.19980029138272,TRUE
"skewed",27,0.735320510411881,0.7515,-0.0161794895881195,0.00230584269273448,-7.01673606751224,TRUE
"skewed",28,0.711171608949777,0.728666666666667,-0.0174950577168896,0.00226305167953376,-7.73073716128921,TRUE
"skewed",29,0.692668144951617,0.714333333333333,-0.0216651883817163,0.00308595516658656,-7.02057781535452,TRUE
"skewed",30,0.730468027656795,0.751,-0.0205319723432053,0.00266928699952499,-7.69193134603321,TRUE
"skewed",31,0.719463341787755,0.737,-0.0175366582122455,0.00244019664302594,-7.18657582878213,TRUE
"skewed",32,0.719965388052388,0.736333333333333,-0.0163679452809457,0.00231307055798734,-7.07628447581289,TRUE
"skewed",33,0.705230583480983,0.726833333333333,-0.0216027498523504,0.00266150357085294,-8.11674652212747,TRUE
"skewed",34,0.707461168952784,0.727,-0.0195388310472164,0.00243915660570208,-8.01048649420048,TRUE
"skewed",35,0.713878074314901,0.733,-0.0191219256850986,0.0026208000143075,-7.29621702560593,TRUE
"skewed",36,0.701283426970241,0.716666666666667,-0.0153832396964259,0.00231336630115451,-6.64972066410266,TRUE
"skewed",37,0.698214540134105,0.718166666666667,-0.0199521265325615,0.00267997923609719,-7.44488101393556,TRUE
"skewed",38,0.695580873052896,0.718666666666667,-0.0230857936137708,0.00298927772283069,-7.72286677729956,TRUE
"skewed",39,0.741555864738614,0.7595,-0.0179441352613859,0.00258223863929252,-6.94906155780484,TRUE
"skewed",40,0.700585009455914,0.720166666666667,-0.0195816572107524,0.00280891609344569,-6.97125031838585,TRUE
"skewed",41,0.718046863840649,0.735166666666667,-0.0171198028260179,0.00229824982367157,-7.44906086783382,TRUE
"skewed",42,0.704421400559789,0.725166666666667,-0.0207452661068779,0.00287615965311652,-7.21283538081724,TRUE
"skewed",43,0.708301798126661,0.7255,-0.0171982018733389,0.00244860516739553,-7.02367294749764,TRUE
"skewed",44,0.700556360658542,0.716,-0.0154436393414583,0.00222604012363394,-6.93771831760473,TRUE
"skewed",45,0.709854575704775,0.7295,-0.019645424295225,0.00287441655880077,-6.83457804161176,TRUE
"skewed",46,0.708774209340831,0.729666666666667,-0.0208924573258359,0.00292474485806618,-7.14334355293126,TRUE
"skewed",47,0.672584400465658,0.6875,-0.0149155995343422,0.00239978042327928,-6.21540178828534,TRUE
"skewed",48,0.711067614830533,0.734333333333333,-0.0232657185028001,0.00324732060978044,-7.16458930255525,TRUE
"skewed",49,0.704604104633877,0.7255,-0.0208958953661227,0.00312263279578388,-6.69175555778954,TRUE
"skewed",50,0.700000713859098,0.719833333333333,-0.0198326194742349,0.00275062548813415,-7.21022166041516,TRUE
"skewed",51,0.708769079921098,0.726,-0.0172309200789016,0.00267528061394917,-6.44078979567897,TRUE
