"b","kappa_id","kappa_lin","kappa_quad","se_id","se_lin","se_quad","cor_id_lin","cor_id_quad","cor_lin_quad","delta_id_quad","se_id_quad"
75,0.718374738823962,0.686817135350277,0.652184186084396,0.0125897416004884,0.0150982891161623,0.0212646981234372,0.849485253352837,0.616239436812295,0.927668382565782,0.066190552739566,0.016755099700126
76,0.681230553988686,0.658914288265109,0.635179475677903,0.0144748560307418,0.0188651225375242,0.0275755783588881,0.845868273533209,0.641271115916276,0.944662928769002,0.0460510783107821,0.0214010281643307
77,0.707890264348545,0.698749934688333,0.695541134848882,0.0134323169420202,0.0165074870342114,0.0221123572742993,0.87113203417535,0.682296726242589,0.946318746522435,0.0123491294996628,0.01625028228771
78,0.713330130829979,0.683165418302968,0.649251727462715,0.0142115558088242,0.0167582038580066,0.0230692838689557,0.877787789135179,0.667848013734956,0.932967770731303,0.0640784033672634,0.0172119632692637
79,0.71255503269419,0.697660273626339,0.678147597135245,0.014027731970019,0.0160783634760804,0.021420031679012,0.862367021609711,0.636743884593296,0.931948929568442,0.0344074355589449,0.0165210310676046
80,0.69664185548096,0.661404865951562,0.623123301164898,0.0138557844797593,0.0173688425187939,0.0241056847276414,0.885668364694646,0.709758675261399,0.947484377815534,0.073518554316062,0.0172899826921692
81,0.704199330974806,0.666728988109312,0.626784254683115,0.013233227753617,0.0167465202891346,0.0253682869729204,0.82068802277416,0.560137148641033,0.923700247232091,0.0774150762916914,0.0210377608218559
82,0.730380695977777,0.726177757100675,0.723169612082238,0.0145170333318032,0.0174101918375768,0.0228819816055634,0.873944114947852,0.688928030649759,0.947373559133697,0.00721108389553926,0.0166323538182322
83,0.712851635832103,0.672618767318549,0.630147927835317,0.0153577897891469,0.0193289685398465,0.026167877835905,0.899825833636737,0.731608075777712,0.948762780156011,0.0827037079967858,0.0182368064178438
84,0.703428418059728,0.669209135034575,0.637729136555578,0.0136835524809701,0.0156338295292761,0.0211854552765993,0.850733231660675,0.60083520338578,0.921327869141066,0.0656992815041506,0.016961961525743
85,0.715631732574733,0.687582508103854,0.661862514308973,0.0125782108188764,0.0162991030007918,0.0238766817300515,0.823542300915026,0.59324941985613,0.937017170747449,0.0537692182657598,0.0192865482319145
86,0.721684612433366,0.693891706413484,0.662485299370078,0.0141586077032028,0.0172979300776198,0.0237236033395836,0.868706005161175,0.646702763388863,0.933119921801098,0.0591993130632879,0.0181336542176363
87,0.713205784314321,0.689161802255033,0.663696145426774,0.0133638457340384,0.0162839793626426,0.022883623094174,0.838358947940667,0.611205670149515,0.93549684073896,0.0495096388875469,0.0181224458665999
88,0.710738521820608,0.692647198629403,0.670274115855585,0.0140579517031282,0.0179304783164684,0.0249407664385532,0.880446488831322,0.708417034196422,0.952333709995237,0.040464405965023,0.0179695023677802
