"cell","b","kappa_AC","kappa_IPW","delta","se","z","boot_var_AC","boot_var_IPW","boot_cov","reject_05"
"null",138,0.836017674286878,0.83637156367357,-0.000353889386691897,0.000776756581719304,-0.455598825964994,0.000225134185836034,0.000224996224486348,0.000224763529767569,FALSE
"null",139,0.832997041188389,0.832782680639326,0.000214360549062209,0.00078108284821144,0.274440220461968,0.000283840509533292,0.000283909295878674,0.000283569857498098,FALSE
"null",140,0.856955809311826,0.85719091603983,-0.000235106728004308,0.000667791954966642,-0.352065828669728,0.000198990495606781,0.000199069267531126,0.000198806908521395,FALSE
"null",141,0.827658222612285,0.82761311707887,4.51055334149686e-05,0.0012135919155843,0.0371669692552723,0.000285967654367207,0.000287837231404889,0.000286166040217262,FALSE
"null",142,0.850130485154228,0.850198559107976,-6.80739537485264e-05,0.00075978844911346,-0.0895959313779472,0.000201012998771621,0.000199125155741333,0.000199780438012774,FALSE
"null",143,0.825243161465612,0.824280667255386,0.000962494210225984,0.000895930029743415,1.07429618192576,0.000230984676458557,0.000231493380997383,0.000230837683418872,FALSE
"null",144,0.820942161846135,0.820033560109518,0.000908601736616887,0.00124877244432667,0.727595920893979,0.00025158176033267,0.000255844491614568,0.000252933409664764,FALSE
"null",145,0.820403997048072,0.820355081261032,4.891578704036e-05,0.000792888302970705,0.0616931626524037,0.000266841788389599,0.000267221631167665,0.000266717373848138,FALSE
"null",146,0.825769466256047,0.825353648519111,0.000415817736935664,0.000861865001657704,0.482462724598265,0.000214763570518185,0.000216002914734164,0.000215011836985633,FALSE
"null",147,0.842699829862021,0.842584710019869,0.00011511984215129,0.000757786070883649,0.151916017692235,0.000199091123893027,0.000200957203905228,0.000199737044034515,FALSE
"null",148,0.851980735461621,0.852118162684022,-0.00013742722240051,0.00095055700210252,-0.144575466906811,0.000252766357040212,0.000250159658532147,0.000251011228479057,FALSE
"null",149,0.82905398927506,0.8291550639504,-0.000101074675340262,0.000952198061724694,-0.106148793410888,0.00030584235084255,0.000304803879143896,0.000304869774418847,FALSE
"null",150,0.836411013725968,0.836307957354317,0.000103056371650756,0.000939926535847,0.109643006895096,0.000232016271582857,0.000235044661151409,0.000233088735420738,FALSE
"null",151,0.854691420753442,0.855012929165457,-0.000321508412014615,0.000815461865284426,-0.394265416571596,0.000238309413078375,0.000237683222747662,0.000237663828886152,FALSE
"null",152,0.869273045302697,0.869247302461485,2.57428412125948e-05,0.000648350351574891,0.039705139590136,0.000195130775085183,0.000198270494114669,0.000196490455510732,FALSE
"null",153,0.846466878802217,0.846607892004928,-0.00014101320271076,0.000817112617075739,-0.172574991211633,0.000199625829538531,0.00020337682665178,0.000201167491580664,FALSE
"null",154,0.82863596230548,0.828704914512671,-6.89522071908311e-05,0.000665849737016069,-0.103555206764566,0.000229933691121432,0.000226288723513859,0.000227889529381503,FALSE
"null",155,0.854931798243375,0.854692658959977,0.000239139283398471,0.000750607286674491,0.318594407014032,0.000222658389210609,0.000224502896265604,0.000223298937088702,FALSE
"null",156,0.834969254259044,0.835986786196204,-0.00101753193716003,0.000850440458245173,-1.19647639913515,0.000237608224812903,0.000237998841106584,0.000237441908473233,FALSE
"null",157,0.83411385702941,0.833896967083276,0.000216889946134224,0.000738154076665028,0.29382747178493,0.000229708495997134,0.000229684134206804,0.00022942387938152,FALSE
"null",158,0.826367971649668,0.826218235442042,0.000149736207625706,0.000974464414323494,0.153660005870669,0.000230705330988147,0.000233743791507699,0.000231749770800532,FALSE
"null",159,0.835822116175454,0.835686249894678,0.000135866280775776,0.000621489307393796,0.218614027883326,0.000243228588648545,0.000245346770723492,0.000244094555206416,FALSE
"null",160,0.833485001048736,0.833959235125233,-0.000474234076496494,0.000884331662712864,-0.536262690223808,0.000219128963430299,0.000217268169546425,0.000217807545243524,FALSE
"null",161,0.852789086211964,0.851588264121111,0.00120082209085393,0.00090093171456642,1.33286693257527,0.000198908326954854,0.000203504844238073,0.000200800746619308,FALSE
"null",162,0.808170731166474,0.807788636702272,0.000382094464202121,0.000884538627575925,0.431970354137331,0.000259218121237074,0.000257399984232779,0.00025791784844309,FALSE
"null",163,0.852930627354715,0.852026578209883,0.00090404914483222,0.000795220584184273,1.13685329933905,0.000203052702388713,0.000203385130956957,0.00020290272878408,FALSE
"null",164,0.847404318920505,0.847530576771599,-0.000126257851093325,0.000851514989540143,-0.148274372905062,0.000206203130029535,0.000205256361289017,0.00020536720677057,FALSE
"null",165,0.845956111660356,0.846813078190178,-0.000856966529822589,0.0010116784386121,-0.847074027789153,0.000252458547067862,0.000249879447491818,0.000250657250648264,FALSE
"null",166,0.842962650078029,0.843030139434241,-6.7489356211814e-05,0.000795107457859988,-0.0848807988714631,0.000214263894449872,0.000215103290068661,0.000214367494324494,FALSE
"null",167,0.814712131389583,0.814911318403244,-0.000199187013660507,0.000905574973670213,-0.219956402784874,0.000263780610929687,0.000264789765522755,0.000263875155209752,FALSE
"null",168,0.849077533860627,0.848758357997466,0.000319175863160659,0.000929547139745776,0.343367054249611,0.000254785101830576,0.000254514638862541,0.000254217841404054,FALSE
"null",169,0.829038436845874,0.829749583687698,-0.000711146841824162,0.000973429026867475,-0.730558491883743,0.000236989800672474,0.000233093305215285,0.000234567770908705,FALSE
"null",170,0.832173791497013,0.83227421163833,-0.000100420141317392,0.000808277414651898,-0.124239697283439,0.000186098736255182,0.000186183354859368,0.000185814389367757,FALSE
"null",171,0.82562170278729,0.825739586193928,-0.000117883406637764,0.00098238695908123,-0.11999691725144,0.000243214897147042,0.00024127167305496,0.000241760743032315,FALSE
"null",172,0.816038120941875,0.815618263759254,0.000419857182620165,0.000855005638452047,0.491057793934902,0.000284202935291181,0.000286377079298953,0.000284924489974174,FALSE
"null",173,0.836126118726684,0.836034460929331,9.16577973526511e-05,0.000712324112435077,0.128674287101302,0.000236984945209029,0.000235885092411715,0.000236181315989794,FALSE
"null",174,0.840023366543579,0.839115799398521,0.000907567145058019,0.000761063244708099,1.19249898266485,0.000173872969016234,0.000178160148264379,0.000175726950009084,FALSE
"null",175,0.815548066655226,0.81579728728773,-0.000249220632503988,0.000692852753537326,-0.359702160713953,0.000257068482423331,0.000257332710474341,0.000256960573979794,FALSE
"null",176,0.826744904951768,0.826970402089982,-0.000225497138213959,0.000743944300285823,-0.303110243774061,0.000230513993020634,0.000230469162407029,0.000230214851152868,FALSE
"null",177,0.840141094714454,0.840018940298973,0.000122154415480802,0.000825545882526497,0.147968051281367,0.000243374735111908,0.000245294193218869,0.00024399370116331,FALSE
"null",178,0.815721199367807,0.815418543170712,0.00030265619709513,0.000581161531836595,0.520778097852884,0.000279470599787839,0.000278921062581025,0.000279026956821389,FALSE
"null",179,0.838855612759063,0.839265257731364,-0.000409644972301004,0.000729543692733521,-0.561508483153502,0.000252934900631201,0.000250247512857873,0.000251325089744733,FALSE
"null",180,0.811720048280849,0.810227620449354,0.00149242783149539,0.00146278665265322,1.02026350102963,0.000268329078743927,0.000275604812726071,0.000270897073339409,FALSE
"null",181,0.847979927978588,0.848048036483604,-6.8108505015485e-05,0.000662366729174525,-0.102825975423562,0.000236440467505719,0.00023134042509505,0.000233671081458426,FALSE
"null",182,0.810247852730636,0.809833523601068,0.000414329129567959,0.000814537437109583,0.508668000624037,0.000230759572902371,0.000229826293047219,0.000229961197356569,FALSE
"null",183,0.849302301149147,0.848852160605678,0.000450140543469701,0.000906881215598368,0.496361084260296,0.000238502011120026,0.000237740894422185,0.000237710236001503,FALSE
"null",184,0.852202811166345,0.851614398103278,0.000588413063066562,0.000800510358602846,0.735047406623865,0.000192788813300167,0.000193625541569393,0.000192886769017665,FALSE
"null",185,0.849971353659441,0.850412555995263,-0.000441202335822455,0.000880824418820181,-0.500897030549429,0.000208308198387141,0.000209735032323726,0.000208633689527038,FALSE
"null",186,0.845516593893355,0.846021270493474,-0.000504676600118992,0.000854659236414648,-0.590500375607176,0.00018544206046083,0.000186151689160196,0.000185431653605319,FALSE
