"dgp","dgp_label","family","p","categories","mechanism","n","rep","seed","method","truth","estimate","bias","se","elapsed_ms","em_iter","observed_fraction","complete_rows","min_pair_count","error"
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mcar30",100,2,6181802,"normal_fiml",0.685889660325719,0.680175906170362,-0.00571375415535635,0.0617515241277387,163,73,0.758333333333333,14,42,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mcar30",100,2,6181802,"listwise",0.685889660325719,0.539942802669209,-0.14594685765651,0.183967982528785,0,NA,0.758333333333333,14,42,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mcar30",100,3,6181803,"pairwise",0.685889660325719,0.66206130333004,-0.0238283569956785,0.0587622123825769,0,NA,0.74,13,43,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mcar30",100,3,6181803,"cat_em",0.685889660325719,0.619809592225096,-0.0660800681006224,0.0744402376155379,2.00000000000022,NA,0.74,13,43,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mcar30",100,3,6181803,"normal_fiml",0.685889660325719,0.66946066338802,-0.0164289969376987,0.0589631715707556,151,65,0.74,13,43,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mcar30",100,3,6181803,"listwise",0.685889660325719,0.649230769230769,-0.0366588910949494,0.125945457365166,0,NA,0.74,13,43,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mcar30",100,4,6181804,"pairwise",0.685889660325719,0.723237192503576,0.0373475321778569,0.045214989192091,0,NA,0.765,18,44,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mcar30",100,4,6181804,"cat_em",0.685889660325719,0.682405015251549,-0.00348464507416946,0.0548483425057496,0.99999999999989,NA,0.765,18,44,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mcar30",100,4,6181804,"normal_fiml",0.685889660325719,0.712826736488278,0.0269370761625589,0.0473211385435042,113,44,0.765,18,44,""
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,3,"mcar30",100,4,6181804,"listwise",0.685889660325719,0.790772779700115,0.104883119374397,0.055034908659449,0,NA,0.765,18,44,""
