"cell","b","kappa_AC","kappa_IPW","delta","se","z","var_AC","var_IPW","cov_AC_IPW","reject_05"
"null",71,0.83599897450393,0.835730490521957,0.000268483981972878,0.000242734335031901,1.10608160126005,0.000213832822548627,0.000214880099463148,0.000214327001027186,FALSE
"null",72,0.807573645151059,0.80701204552828,0.000561599622779463,0.000409313556872232,1.37205233823899,0.000293199451018317,0.00029529672046435,0.000294164316947414,FALSE
"null",73,0.845643645838462,0.845593940442086,4.9705396375832e-05,0.000492816641027816,0.100859817298715,0.000220263845529836,0.000220071521057788,0.000220046249172975,FALSE
"null",74,0.837935719969833,0.837668702827972,0.000267017141861059,0.000492170098729368,0.542530199519262,0.00022910269096631,0.000230495984983106,0.000229678222271666,FALSE
"null",75,0.844339325832769,0.843505674837262,0.000833650995507029,0.000455354312350425,1.83077435064561,0.000240206521713901,0.000243089971689523,0.000241544572926824,FALSE
"null",76,0.821855610149876,0.822647064357372,-0.000791454207496045,0.000285996078037588,-2.76736035307458,0.000243648763510658,0.00024162891559987,0.000242597942676938,TRUE
"null",77,0.806061397822218,0.805198095108906,0.00086330271331192,0.000499253254346941,1.72918795379948,0.000265313719687957,0.000267777370597994,0.000266420918236987,FALSE
"null",78,0.841107424404022,0.840383447576733,0.000723976827289197,0.000898832121186719,0.80546390168315,0.000241669858832512,0.000244135209731712,0.000242498584691074,FALSE
"null",79,0.834646779545122,0.8353952668222,-0.000748487277077881,0.000646533536856075,-1.15769288739078,0.000216154394409475,0.000215884004554495,0.000215810196674845,FALSE
"null",80,0.867604928364911,0.868307095128447,-0.000702166763535739,0.00055176579695834,-1.27258117013867,0.000200650959448855,0.000200955016368699,0.00020065076516143,FALSE
"null",81,0.821877636401953,0.82183070854098,4.69278609732671e-05,0.000621210802817011,0.0755425706707978,0.000230417984374735,0.000230855559838062,0.00023044382067563,FALSE
"null",82,0.816600328289112,0.816113809923514,0.000486518365598099,0.000367265084218007,1.32470628574456,0.000266373990753963,0.000267494144766167,0.000266866625939022,FALSE
"null",83,0.845851692734839,0.846189462993061,-0.000337770258222236,0.000566881238738819,-0.595839542994399,0.000210853216753297,0.000210452894386554,0.000210492378400508,FALSE
"null",84,0.848039332763791,0.847619332524461,0.000420000239329865,0.000683091346407903,0.61485223248468,0.000218773285854481,0.000222512004015784,0.000220409338041364,FALSE
"null",85,0.853330742814352,0.85343410056464,-0.000103357750287247,0.00058318236043762,-0.177230583945796,0.000220298780131022,0.0002191945492496,0.000219576613857548,FALSE
"null",86,0.844947755854649,0.845596271763033,-0.000648515908384439,0.000441298280814022,-1.46956364114581,0.000203107594599327,0.000202386788872282,0.00020264981964948,FALSE
"null",87,0.815353081411069,0.815360867743197,-7.78633212838997e-06,0.000382943208715713,-0.0203328638585946,0.000263180016990888,0.000262962159713678,0.000262997765601732,FALSE
"null",88,0.848400742735911,0.848590613043303,-0.00018987030739126,0.000776815270954135,-0.244421440322677,0.000213960162312443,0.000214743915181863,0.00021405031776456,FALSE
"null",89,0.877849171916213,0.877903395968069,-5.42240518555115e-05,0.000332706646006203,-0.16297856537107,0.000169447106025165,0.000169626134428708,0.000169481273370788,FALSE
"null",90,0.830953936197254,0.830731371143376,0.000222565053877744,0.000422255271604261,0.527086501566124,0.000238161142593164,0.000239276027110188,0.000238629435094478,FALSE
"null",91,0.873167793254255,0.873706118377725,-0.000538325123469852,0.000497293876434448,-1.08250905345868,0.000192882824989868,0.000192731902333888,0.000192683713062108,FALSE
"null",92,0.84840559495842,0.848853149476071,-0.000447554517650772,0.00052524179582071,-0.852092352916148,0.000211329409285335,0.000210643076036523,0.000210848303188891,FALSE
"null",93,0.846761813744849,0.846473736638964,0.00028807710588441,0.000641798406955383,0.44885917877393,0.000214703062784168,0.000215323286505515,0.000214807222047256,FALSE
"null",94,0.830951351445378,0.831411829835038,-0.00046047838965968,0.000246106529153719,-1.87105312176445,0.000228858793396784,0.000227948214562634,0.000228373219767863,FALSE
"null",95,0.821408712045011,0.820962093116839,0.000446618928171993,0.000379726344579393,1.17615997559162,0.000244066050373837,0.000246051843531884,0.000244986850904476,FALSE
"null",96,0.833547246170951,0.833420896512281,0.000126349658670866,0.000344818160787473,0.36642402587589,0.000218506527240499,0.000218577483313759,0.000218482555495125,FALSE
"null",97,0.844342768043878,0.844486861066012,-0.000144093022133251,0.000282469776715801,-0.510118370214972,0.00021292339139759,0.000212671635336501,0.000212757618779667,FALSE
"null",98,0.843323812838294,0.842805083024659,0.000518729813634766,0.000586234253166064,0.884850741547891,0.00024666630391876,0.000248687349605945,0.00024750499146256,FALSE
"null",99,0.816993237901536,0.816459263555382,0.000533974346153876,0.000468399463263115,1.13999777547551,0.000237850613420964,0.000240252059535561,0.00023894163744967,FALSE
"null",100,0.862180186703939,0.86257568121823,-0.000395494514290662,0.000305557849779208,-1.29433596478193,0.000201753235152866,0.000200754209518903,0.000201207039536104,FALSE
"null",101,0.82295137228361,0.82305168192344,-0.000100309639830432,0.000512916544874048,-0.195567175270323,0.000240446901413747,0.000240459563663401,0.000240321690847571,FALSE
