"b","kappa_id","kappa_lin","kappa_quad","se_id","se_lin","se_quad","cor_id_lin","cor_id_quad","cor_lin_quad","delta_id_quad","se_id_quad","reject_id_eq_quad"
77,0.707890264348545,0.698749934688333,0.695541134848882,0.0132005975731711,0.0161548788801272,0.0217138238093368,0.854350073108155,0.648454847844698,0.942708452340327,0.0123491294996628,0.0165531153150016,FALSE
78,0.713330130829979,0.683165418302968,0.649251727462715,0.0136396173932623,0.0170349743510998,0.0242208840092572,0.856216281198027,0.638519161592316,0.935879906428035,0.0640784033672634,0.0187297468955556,TRUE
79,0.71255503269419,0.697660273626339,0.678147597135245,0.0139645491618237,0.0169595827913552,0.0230209101838739,0.87324745009713,0.681931550445864,0.944846609120424,0.0344074355589449,0.0169269259697677,TRUE
80,0.69664185548096,0.661404865951562,0.623123301164898,0.0135944374027566,0.0173550730480975,0.0244981107203113,0.866648240210463,0.673079381403812,0.944719199838818,0.073518554316062,0.0183478633941675,TRUE
81,0.704199330974806,0.666728988109312,0.626784254683115,0.0137202710906026,0.0174046965767745,0.0256260109039959,0.850063088427992,0.623839200660901,0.934239212721407,0.0774150762916914,0.0201558866666145,TRUE
82,0.730380695977777,0.726177757100675,0.723169612082238,0.0130849728076171,0.0160860656529891,0.0217108296850079,0.859148345300033,0.668321281495442,0.947829394105519,0.00721108389553926,0.0162128255720394,FALSE
83,0.712851635832103,0.672618767318549,0.630147927835317,0.0142508723425274,0.0178737089653486,0.0249571598410956,0.87976459562024,0.686129019342491,0.941649449042317,0.0827037079967858,0.0183817331433844,TRUE
84,0.703428418059728,0.669209135034575,0.637729136555578,0.0139320708726956,0.0173482568092258,0.0240087418142259,0.852949704768508,0.636040780319817,0.938010316263059,0.0656992815041506,0.0185747630530888,TRUE
85,0.715631732574733,0.687582508103854,0.661862514308973,0.0136197456191303,0.0176382480266395,0.0249557771042843,0.860631630119832,0.659924682825504,0.943532804928554,0.0537692182657598,0.0189653082639434,TRUE
86,0.721684612433366,0.693891706413484,0.662485299370078,0.0133233337650511,0.0167686255818662,0.0235533200516863,0.873573759733874,0.676000568453369,0.94145673796924,0.0591993130632879,0.0175499381473331,TRUE
87,0.713205784314321,0.689161802255033,0.663696145426774,0.0135542096770619,0.0168577907882967,0.0235634112090504,0.870643655539106,0.672165417479656,0.942458172286734,0.0495096388875469,0.0175952826961702,TRUE
88,0.710738521820608,0.692647198629403,0.670274115855585,0.013511630090181,0.0164916083047487,0.0227308426749442,0.865012792373605,0.662120732754109,0.941802441665107,0.040464405965023,0.0171038036120047,TRUE
89,0.693901089086211,0.675078403471167,0.651191300543535,0.0138511416374629,0.0167583274172923,0.0233631913531585,0.857083906836848,0.639115953992473,0.936945693926667,0.0427097885426763,0.0180013389709474,TRUE
90,0.70639821076027,0.68421149508505,0.659739365051508,0.0136959438221212,0.0168366983493973,0.0232962912025258,0.870693246536517,0.678290775948269,0.945330745842705,0.0466588457087616,0.0172469933929074,TRUE
91,0.732615119624671,0.699176756207666,0.668914805798972,0.0131730644105238,0.0170181362749634,0.0239134360919876,0.863228140852021,0.666095319846571,0.944876179296495,0.0637003138256991,0.0180478356066896,TRUE
92,0.69998596200359,0.682088843217806,0.66796889746044,0.0132840615455077,0.0163568686511347,0.0223210114770694,0.855849172591588,0.651617848038439,0.942792105911113,0.0320170645431496,0.0169784162699273,FALSE
