"model_family","dgp","dgp_name","n","rep","seed","method","coefficient","estimate","truth","error"
"guess","A","Exchangeable + MCAR",1000,15,210215,"available","Conger",0.847500085724971,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,15,210215,"available","Fleiss",0.847487943459066,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,15,210215,"available","Brennan-Prediger",0.849485787744608,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,15,210215,"ipw","Conger",0.849253919495437,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,15,210215,"ipw","Fleiss",0.849243293939175,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,15,210215,"ipw","Brennan-Prediger",0.851192185245728,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,15,210215,"fiml","Conger",0.844011189618179,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,15,210215,"fiml","Fleiss",0.844001757545641,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,15,210215,"fiml","Brennan-Prediger",0.846054137541101,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,15,210215,"gwet","Conger",0.847525295662734,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,15,210215,"gwet","Fleiss",0.847514548261913,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,15,210215,"gwet","Brennan-Prediger",0.849485787744608,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,16,210216,"available","Conger",0.833077653918784,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,16,210216,"available","Fleiss",0.833052416859373,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,16,210216,"available","Brennan-Prediger",0.836027298850575,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,16,210216,"ipw","Conger",0.834287773560666,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,16,210216,"ipw","Fleiss",0.834257579702367,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,16,210216,"ipw","Brennan-Prediger",0.837204544950168,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,16,210216,"fiml","Conger",0.824679657814358,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,16,210216,"fiml","Fleiss",0.824664420042017,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,16,210216,"fiml","Brennan-Prediger",0.828048964237304,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,16,210216,"gwet","Conger",0.833089434994206,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,16,210216,"gwet","Fleiss",0.833059022790734,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,16,210216,"gwet","Brennan-Prediger",0.836027298850575,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,17,210217,"available","Conger",0.84870450355369,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,17,210217,"available","Fleiss",0.848706542518202,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,17,210217,"available","Brennan-Prediger",0.851843880040178,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,17,210217,"ipw","Conger",0.852022448008396,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,17,210217,"ipw","Fleiss",0.85198664036,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,17,210217,"ipw","Brennan-Prediger",0.855252906952583,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,17,210217,"fiml","Conger",0.832530003377777,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,17,210217,"fiml","Fleiss",0.832519004569622,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,17,210217,"fiml","Brennan-Prediger",0.835641088710039,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,17,210217,"gwet","Conger",0.848537338590649,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,17,210217,"gwet","Fleiss",0.848500687614524,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,17,210217,"gwet","Brennan-Prediger",0.851843880040178,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,18,210218,"available","Conger",0.852772145187211,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,18,210218,"available","Fleiss",0.852767131360045,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,18,210218,"available","Brennan-Prediger",0.856136749716874,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,18,210218,"ipw","Conger",0.85324482896231,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,18,210218,"ipw","Fleiss",0.853222226802702,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,18,210218,"ipw","Brennan-Prediger",0.85659878833227,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,18,210218,"fiml","Conger",0.844005037828845,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,18,210218,"fiml","Fleiss",0.843997270389259,0.84371493031845,""
