"target","R","n","coefficient","method","reps","valid_reps","coverage","miss_below","miss_above","mean_length","median_length","mean_estimate","bias","sd_estimate","mean_se","mean_skew_if"
0.5,5,40,"Conger","fisher",300,300,0.946666666666667,0.05,0.00333333333333333,0.329988346779864,0.329085969786457,0.486739984061067,-0.0132600159389328,0.0803085852412008,0.0819104664975464,0.285167535019662
0.5,2,10,"Fleiss","arcsine",300,300,0.856666666666667,0.0333333333333333,0.11,1.03678818446562,1.12656902159013,0.450568743389314,-0.0494312566106861,0.319180316854813,0.252764143297838,-0.910754018803153
0.5,2,10,"Fleiss","basic",300,300,0.826666666666667,0.03,0.143333333333333,1.14358443451951,1.21205634943183,0.450568743389314,-0.0494312566106861,0.319180316854813,0.252764143297838,-0.910754018803153
0.5,2,10,"Fleiss","cf_if",300,298,0.785234899328859,0.0402684563758389,0.174496644295302,0.997467014993725,1.05631504679124,0.450568743389314,-0.0494312566106861,0.319180316854813,0.252764143297838,-0.910754018803153
0.5,2,10,"Fleiss","cf_student_minus",300,298,0.828859060402685,0.0436241610738255,0.12751677852349,0.997467014993725,1.05631504679124,0.450568743389314,-0.0494312566106861,0.319180316854813,0.252764143297838,-0.910754018803153
0.5,2,10,"Fleiss","cf_student_plus",300,298,0.741610738255034,0.0436241610738255,0.214765100671141,0.997467014993725,1.05631504679124,0.450568743389314,-0.0494312566106861,0.319180316854813,0.252764143297838,-0.910754018803153
0.5,2,10,"Fleiss","fisher",300,300,0.876666666666667,0.0333333333333333,0.09,1.04947096541393,1.1347934728881,0.450568743389314,-0.0494312566106861,0.319180316854813,0.252764143297838,-0.910754018803153
0.5,2,20,"Fleiss","arcsine",300,300,0.926666666666667,0.02,0.0533333333333333,0.78649517558829,0.817758316539743,0.469360692097665,-0.0306393079023353,0.217877878258183,0.195943174842071,-1.11203336605956
0.5,2,20,"Fleiss","basic",300,300,0.896666666666667,0.02,0.0833333333333333,0.820227556483176,0.852791339953975,0.469360692097665,-0.0306393079023353,0.217877878258183,0.195943174842071,-1.11203336605956
0.5,2,20,"Fleiss","cf_if",300,300,0.88,0.02,0.1,0.768083131413789,0.798576733562651,0.469360692097665,-0.0306393079023353,0.217877878258183,0.195943174842071,-1.11203336605956
0.5,2,20,"Fleiss","cf_student_minus",300,300,0.923333333333333,0.0233333333333333,0.0533333333333333,0.768083131413789,0.798576733562651,0.469360692097665,-0.0306393079023353,0.217877878258183,0.195943174842071,-1.11203336605956
0.5,2,20,"Fleiss","cf_student_plus",300,300,0.843333333333333,0.0233333333333333,0.133333333333333,0.768083131413789,0.798576733562651,0.469360692097665,-0.0306393079023353,0.217877878258183,0.195943174842071,-1.11203336605956
