"dgp","method","n","b","truth","est","se"
"A","fiml",2000,37,0.843045749937839,0.829748635536857,0.00765012144692142
"A","ipw",2000,38,0.843045749937839,0.839815827695707,0.00709695516905764
"A","fiml",2000,38,0.843045749937839,0.830149347592321,0.00798895201308348
"A","ipw",2000,39,0.843045749937839,0.84109532779654,0.007224237537206
"A","fiml",2000,39,0.843045749937839,0.831721951485102,0.00767258136488404
"A","ipw",2000,40,0.843045749937839,0.84037201515761,0.0069881039988544
"A","fiml",2000,40,0.843045749937839,0.830430416964873,0.00729908177983469
"A","ipw",2000,41,0.843045749937839,0.860184221914028,0.00676529496341494
"A","fiml",2000,41,0.843045749937839,0.849787124059613,0.00757002397121175
"A","ipw",2000,42,0.843045749937839,0.837522543460272,0.00734791346864616
"A","fiml",2000,42,0.843045749937839,0.826631529667118,0.00792673405346623
"A","ipw",2000,43,0.843045749937839,0.841791129459828,0.00725900538131806
"A","fiml",2000,43,0.843045749937839,0.835193943177513,0.00732869012659918
"A","ipw",2000,44,0.843045749937839,0.845190632148436,0.00698769391846454
"A","fiml",2000,44,0.843045749937839,0.830359078730304,0.00746686531845617
"A","ipw",2000,45,0.843045749937839,0.849011734600741,0.00716030016528685
"A","fiml",2000,45,0.843045749937839,0.840873908072503,0.00729086660276304
"A","ipw",2000,46,0.843045749937839,0.835789142073036,0.00721358287746264
"A","fiml",2000,46,0.843045749937839,0.826093451006285,0.00752526629107515
"A","ipw",2000,47,0.843045749937839,0.850656276525147,0.00690442426166777
"A","fiml",2000,47,0.843045749937839,0.842126140104458,0.00735257069144605
"A","ipw",2000,48,0.843045749937839,0.844251197687016,0.00710876906833405
"A","fiml",2000,48,0.843045749937839,0.83458843044627,0.0071570363470425
"A","ipw",2000,49,0.843045749937839,0.848662681308982,0.00713257929572495
"A","fiml",2000,49,0.843045749937839,0.836081991177523,0.00739692112563601
"A","ipw",2000,50,0.843045749937839,0.846824877113829,0.0071886691521628
"A","fiml",2000,50,0.843045749937839,0.841252961621108,0.00708758012813239
"A","ipw",8000,1,0.843045749937839,0.840599572323278,0.00367757221894595
"A","fiml",8000,1,0.843045749937839,0.837178248310143,0.00393485037629942
