"mechanism","replicate","n","estimator","coefficient","estimate","truth","bias","observed_fraction","mean_observed_raters","zero_observed_fraction","error"
"m1_rater_mcar",18,500,"raw_fiml","Brennan-Prediger",0.624631232213079,0.656030112,-0.0313988797869209,0.6176,3.088,0.002,""
"m1_rater_mcar",18,500,"raw_ipw","Fleiss",0.613119863992798,0.652494739899285,-0.0393748759064869,0.6176,3.088,0.002,""
"m1_rater_mcar",18,500,"raw_ipw","Brennan-Prediger",0.616378527399164,0.656030112,-0.0396515846008363,0.6176,3.088,0.002,""
"m1_rater_mcar",19,500,"counts_fiml","Fleiss",0.737879542564167,0.652494739899285,0.0853848026648822,0.6104,3.052,0,""
"m1_rater_mcar",19,500,"counts_fiml","Brennan-Prediger",0.743611867364241,0.656030112,0.0875817553642411,0.6104,3.052,0,""
"m1_rater_mcar",19,500,"raw_fiml","Fleiss",0.654285687974264,0.652494739899285,0.0017909480749787,0.6104,3.052,0,""
"m1_rater_mcar",19,500,"raw_fiml","Brennan-Prediger",0.660359154303344,0.656030112,0.00432904230334419,0.6104,3.052,0,""
"m1_rater_mcar",19,500,"raw_ipw","Fleiss",0.655808950439924,0.652494739899285,0.00331421054063963,0.6104,3.052,0,""
"m1_rater_mcar",19,500,"raw_ipw","Brennan-Prediger",0.659848617479267,0.656030112,0.00381850547926721,0.6104,3.052,0,""
"m1_rater_mcar",20,500,"counts_fiml","Fleiss",0.750601201012896,0.652494739899285,0.0981064611136111,0.6056,3.028,0,""
"m1_rater_mcar",20,500,"counts_fiml","Brennan-Prediger",0.754794771861128,0.656030112,0.0987646598611276,0.6056,3.028,0,""
"m1_rater_mcar",20,500,"raw_fiml","Fleiss",0.626493393547625,0.652494739899285,-0.0260013463516595,0.6056,3.028,0,""
"m1_rater_mcar",20,500,"raw_fiml","Brennan-Prediger",0.63447153291943,0.656030112,-0.0215585790805699,0.6056,3.028,0,""
"m1_rater_mcar",20,500,"raw_ipw","Fleiss",0.653673413472127,0.652494739899285,0.00117867357284207,0.6056,3.028,0,""
"m1_rater_mcar",20,500,"raw_ipw","Brennan-Prediger",0.663215148166705,0.656030112,0.00718503616670518,0.6056,3.028,0,""
